Raba električne energije po namenu (GWh), gospodinjstva, Slovenija, letno
NAMEN RABE;2009;2010;2011;2012;2013;2014;2015;2016;2017
Ogrevanje prostorov;301;328;306;313;329;336;325;344;336
Hlajenje prostorov;42;48;55;75;71;37;84;60;61
Ogrevanje sanitarne vode;612;596;598;599;599;600;602;606;611
Kuhanje;194;199;211;221;231;241;245;253;258
Razsvetljava;276;262;254;249;235;214;198;190;184
Hladilniki in kombinirani hladilniki;221;219;217;210;204;202;197;191;187
Zamrzovalne skrinje in omare;196;188;189;188;186;189;184;188;188
Pralni in pralno sušilni stroji (za pranje);145;141;138;134;130;128;124;122;120
Sušilni in pralno sušilni stroji (za sušenje);47;50;51;51;51;51;48;48;45
Pomivalni stroji;94;97;101;104;106;110;109;115;117
Osebni računalniki in monitorji;99;100;102;103;103;101;98;95;93
Televizije;128;136;141;143;142;140;133;126;120
Drugo;782;857;849;790;842;777;858;924;1008
